ORGANIZATION_ID,ORGANIZATION_NAME,ORGANIZATION_CREATED_DATE,PROJECT_ID,PROJECT_NAME,PROJECT_CREATED_DATE,LAST_BUILD_FINISHED_AT,VCS_NAME,VCS_URL,VCS_BRANCH,PIPELINE_ID,PIPELINE_CREATED_AT,PIPELINE_NUMBER,IS_UNREGISTERED_USER,PIPELINE_TRIGGER_SOURCE,PIPELINE_TRIGGER_USER_ID,WORKFLOW_ID,WORKFLOW_NAME,WORKFLOW_FIRST_JOB_QUEUED_AT,WORKFLOW_FIRST_JOB_STARTED_AT,WORKFLOW_STOPPED_AT,IS_WORKFLOW_SUCCESSFUL,JOB_NAME,JOB_RUN_NUMBER,JOB_ID,JOB_RUN_DATE,JOB_RUN_QUEUED_AT,JOB_RUN_STARTED_AT,JOB_RUN_STOPPED_AT,JOB_BUILD_STATUS,RESOURCE_CLASS,OPERATING_SYSTEM,EXECUTOR,PARALLELISM,JOB_RUN_SECONDS,MEDIAN_CPU_UTILIZATION_PCT,MAX_CPU_UTILIZATION_PCT,MEDIAN_RAM_UTILIZATION_PCT,MAX_RAM_UTILIZATION_PCT,COMPUTE_CREDITS,DLC_CREDITS,USER_CREDITS,STORAGE_CREDITS,NETWORK_CREDITS,LEASE_CREDITS,LEASE_OVERAGE_CREDITS,IPRANGES_CREDITS,TOTAL_CREDITS
73d9dfa4-601c-405e-8b36-c61fd77f569d,HennaAbbas,2020-03-17,afc17f07-8e66-4fad-82b6-c63820afc7b4,circleci-demo-python-django,2021-02-17,2025-03-20 20:41:17.074,github,https://github.com/HennaAbbas/circleci-demo-python-django,master,d6f2ca17-fd25-401b-a803-33e4bed2f80b,2025-03-20 20:25:52.964,4909,false,webhook,dbfd74a5-e4cb-4d78-8a1c-b16cf5ed7987,d284f0c6-307a-4e35-966d-13955c31bb50,on_commit,\\N,2025-03-20 20:25:55.000,2025-03-20 20:27:57.000,true,build_and_test,5040,592589bc-64f7-4720-b2e0-1387345584df,2025-03-20,2025-03-20 20:25:53.000,2025-03-20 20:25:55.000,2025-03-20 20:27:57.000,success,medium,linux,docker,10,122,\\N,\\N,\\N,\\N,118,0,0,10,0,0,0,0,128
73d9dfa4-601c-405e-8b36-c61fd77f569d,HennaAbbas,2020-03-17,f1278979-6d7b-4ec3-bad6-62c176f478f6,python_script,2025-03-25,2025-03-31 01:49:39.873,github,https://github.com/HennaAbbas/python_script,main,dbce5521-d376-4fb5-940f-f984f27b63d9,2025-03-26 05:05:47.537,7,false,api,dbfd74a5-e4cb-4d78-8a1c-b16cf5ed7987,1ded7ce9-266c-46b1-b0b5-f4cb11b255a9,my-workflow,2025-03-26 05:05:48.000,2025-03-26 05:05:49.000,2025-03-26 05:08:03.000,true,generate_reports,7,70ae0641-a89c-4c6e-bd26-09f89c9fa28f,2025-03-26,2025-03-26 05:05:48.000,2025-03-26 05:05:49.000,2025-03-26 05:08:03.000,success,large,linux,docker,1,134,\\N,\\N,\\N,\\N,45,0,0,1,0,0,0,0,46
73d9dfa4-601c-405e-8b36-c61fd77f569d,HennaAbbas,2020-03-17,3beb1f72-d5c7-44db-af9f-a59cb76e47bb,usage_report_10_months,2025-03-19,2025-03-22 05:27:02.235,github,https://github.com/HennaAbbas/usage_report_10_months,main,2a4b5e1d-dc8c-45d6-83f0-2c853b358e88,2025-03-19 05:22:06.729,3,false,webhook,dbfd74a5-e4cb-4d78-8a1c-b16cf5ed7987,86a5e553-7fde-488a-b3ee-191c8b616daf,my-workflow,2025-03-19 05:22:07.000,2025-03-19 05:22:09.000,2025-03-19 05:22:30.000,true,generate_reports,4,04b00c01-cff9-468e-ae66-624809ae1de0,2025-03-19,2025-03-19 05:22:07.000,2025-03-19 05:22:09.000,2025-03-19 05:22:30.000,success,large,linux,docker,1,21,\\N,\\N,\\N,\\N,7,0,0,1,0,0,0,0,8
73d9dfa4-601c-405e-8b36-c61fd77f569d,HennaAbbas,2020-03-17,f1278979-6d7b-4ec3-bad6-62c176f478f6,python_script,2025-03-25,2025-03-31 01:49:39.873,github,https://github.com/HennaAbbas/python_script,main,8604d395-3177-4669-92ca-3c00cbb4fdb0,2025-03-28 02:59:53.358,8,false,api,dbfd74a5-e4cb-4d78-8a1c-b16cf5ed7987,ebe3f79b-fcae-4788-af20-a886566ca7b5,my-workflow,\\N,2025-03-28 02:59:57.000,2025-03-28 03:01:31.000,true,generate_reports,8,5623ed7b-e32d-495c-9120-ed13202060a2,2025-03-28,2025-03-28 02:59:53.000,2025-03-28 02:59:57.000,2025-03-28 03:01:31.000,success,large,linux,docker,1,94,\\N,\\N,\\N,\\N,32,0,0,1,0,0,0,0,33
73d9dfa4-601c-405e-8b36-c61fd77f569d,HennaAbbas,2020-03-17,a28f1af3-0aa7-480a-8cc5-7e7c1cb47fd2,circleci-usage-api-exporter,2025-02-04,2025-03-17 02:15:17.620,github,https://github.com/HennaAbbas/circleci-usage-api-exporter,main,28f599bb-d1f6-412d-8623-7186b1256d44,2025-03-17 02:12:36.099,6,false,api,dbfd74a5-e4cb-4d78-8a1c-b16cf5ed7987,b813f1c6-a385-4860-8ac8-67ed6b4a42b8,use-usage-api,\\N,2025-03-17 02:12:38.000,2025-03-17 02:15:17.000,true,generate-usage-report,8,cb2d12a3-50f7-42a9-b823-3b66dda3c245,2025-03-17,2025-03-17 02:12:36.000,2025-03-17 02:12:38.000,2025-03-17 02:15:17.000,success,small,linux,docker,1,159,\\N,\\N,\\N,\\N,14,0,0,1,0,0,0,0,15
73d9dfa4-601c-405e-8b36-c61fd77f569d,HennaAbbas,2020-03-17,afc17f07-8e66-4fad-82b6-c63820afc7b4,circleci-demo-python-django,2021-02-17,2025-03-20 20:41:17.074,github,https://github.com/HennaAbbas/circleci-demo-python-django,master,5a506149-6176-4d7a-a558-37fd35ac8597,2025-03-20 20:25:00.705,4908,false,webhook,dbfd74a5-e4cb-4d78-8a1c-b16cf5ed7987,b89721e5-cd69-46b7-a188-fe4192070968,on_commit,2025-03-20 20:25:01.000,2025-03-20 20:25:03.000,2025-03-20 20:29:09.000,false,build_and_test,5039,a2e12e99-b5e7-480c-953c-9c301f65d7bb,2025-03-20,2025-03-20 20:25:01.000,2025-03-20 20:25:03.000,2025-03-20 20:29:09.000,canceled,medium,linux,docker,500,246,7,82,3,25,6285,0,0,2,0,0,0,0,6287
73d9dfa4-601c-405e-8b36-c61fd77f569d,HennaAbbas,2020-03-17,afc17f07-8e66-4fad-82b6-c63820afc7b4,circleci-demo-python-django,2021-02-17,2025-03-20 20:41:17.074,github,https://github.com/HennaAbbas/circleci-demo-python-django,master,c0567092-c962-4aa5-af1d-95ce99eedbfe,2025-03-10 19:13:04.699,4904,false,webhook,dbfd74a5-e4cb-4d78-8a1c-b16cf5ed7987,705bdf98-5629-4313-9821-6eb8d5dfbb0c,on_commit,2025-03-10 19:13:05.000,2025-03-10 19:14:11.000,2025-03-10 19:15:44.000,false,build_and_test,5035,e6997a60-9683-43fc-9356-3a1dc208c92d,2025-03-10,2025-03-10 19:13:05.000,2025-03-10 19:14:11.000,2025-03-10 19:15:44.000,failed,medium,linux,remote-docker,50,93,78,100,4,18,559,0,0,67,0,0,0,0,626
73d9dfa4-601c-405e-8b36-c61fd77f569d,HennaAbbas,2020-03-17,560b8aa3-fb90-4f15-9f29-0e7305a5ca80,test_,2020-09-22,2025-03-11 17:06:46.296,github,https://github.com/HennaAbbas/test_,master,df0d4580-8e59-4a95-a4ce-096b68d81161,2025-03-05 23:51:03.116,20994,false,webhook,dbfd74a5-e4cb-4d78-8a1c-b16cf5ed7987,affcabed-e0cd-48f8-9b8c-f9c5e7d81a09,master-flow,\\N,2025-03-05 23:51:22.000,2025-03-05 23:51:30.000,false,Common Dev,47937,272f53f0-984b-4252-973f-66c1eee29d0e,2025-03-05,2025-03-05 23:51:03.000,2025-03-05 23:51:22.000,2025-03-05 23:51:30.000,failed,2xlarge,linux,remote-docker,1,8,\\N,\\N,\\N,\\N,27,200,25000,0,0,0,0,0,25227
73d9dfa4-601c-405e-8b36-c61fd77f569d,HennaAbbas,2020-03-17,3beb1f72-d5c7-44db-af9f-a59cb76e47bb,usage_report_10_months,2025-03-19,2025-03-22 05:27:02.235,github,https://github.com/HennaAbbas/usage_report_10_months,main,9eb5a183-2057-4293-a014-5623584e23d0,2025-03-19 05:03:01.412,1,false,api,dbfd74a5-e4cb-4d78-8a1c-b16cf5ed7987,31cfebc5-f426-4ea5-9f44-8d69b6349996,my-workflow,\\N,2025-03-19 05:03:04.000,2025-03-19 05:03:24.000,false,generate_reports,1,1ee414be-1c40-4939-906c-f368ed2cbcac,2025-03-19,2025-03-19 05:03:01.000,2025-03-19 05:03:04.000,2025-03-19 05:03:24.000,failed,large,linux,docker,1,20,\\N,\\N,\\N,\\N,7,0,0,1,0,0,0,0,8
73d9dfa4-601c-405e-8b36-c61fd77f569d,HennaAbbas,2020-03-17,3beb1f72-d5c7-44db-af9f-a59cb76e47bb,usage_report_10_months,2025-03-19,2025-03-22 05:27:02.235,github,https://github.com/HennaAbbas/usage_report_10_months,main,9f1d3202-24b5-4c1b-b898-43175b11c23a,2025-03-19 05:05:59.722,2,false,webhook,dbfd74a5-e4cb-4d78-8a1c-b16cf5ed7987,369d3b30-e122-4825-b7ad-22926ee51cd1,my-workflow,\\N,2025-03-19 05:20:13.000,2025-03-19 07:21:38.000,true,generate_reports,3,a91792d2-c20a-4d0b-a644-74e4d4bb641d,2025-03-19,2025-03-19 05:20:10.000,2025-03-19 05:20:13.000,2025-03-19 07:21:38.000,success,large,linux,docker,1,7285,\\N,\\N,\\N,\\N,2429,0,0,1,0,0,0,0,2430
